exp_id,coherence,noise_std,Accuracy (%),Accuracy Difference (%),Accuracy CI Low (%),Accuracy CI High (%),Accuracy Diff CI Low (%),Accuracy Diff CI High (%),Mean Correct RT (ms),Mean Correct RT CI Margin (ms),Correct RT std (ms),Correct RT std CI Low (ms),Correct RT std CI High (ms),Inverse Efficiency,Correct Decision (%),Wrong Decision (%),No Decision (%),Premature (%),Wrong Decision CI Low (%),Wrong Decision CI High (%),Mean PD Variability,Mean PD Variability CI Margin
0,1.0,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,51.74,0.32,1.61,1.51,1.76,51.74,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
1,1.0,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,51.68,0.32,1.62,1.49,1.8,51.68,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
2,1.0,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,51.54,0.36,1.83,1.67,2.05,51.54,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
3,0.3,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,61.87,0.25,1.27,1.08,1.54,61.87,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
4,0.3,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,62.0,0.57,2.87,2.5,3.34,62.0,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
5,0.3,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,65.42,2.21,11.13,7.65,18.27,65.42,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
6,0.15,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,77.39,1.02,5.13,4.23,6.44,77.39,100.0,0.0,0.0,0.0,0.0,3.7,0.036,0.0
7,0.15,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,81.75,2.28,11.5,9.8,15.05,81.75,100.0,0.0,0.0,0.0,0.0,3.7,0.038,0.001
8,0.15,0.5,99.0,-2.0,94.55,99.82,-10.5,5.32,88.3,6.42,32.21,25.64,48.2,89.19,99.0,1.0,0.0,0.0,0.18,5.45,0.091,0.013
9,0.1,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,102.52,3.97,20.01,14.64,30.44,102.52,100.0,0.0,0.0,0.0,0.0,3.7,0.048,0.002
10,0.1,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,108.76,7.44,37.51,31.31,45.96,108.76,100.0,0.0,0.0,0.0,0.0,3.7,0.079,0.008
11,0.1,0.5,98.0,4.0,93.0,99.45,-3.7,13.46,119.7,13.45,67.11,51.68,95.82,122.15,98.0,2.0,0.0,0.0,0.55,7.0,0.225,0.022
12,0.08,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,123.11,7.57,38.14,29.87,50.54,123.11,100.0,0.0,0.0,0.0,0.0,3.7,0.072,0.004
13,0.08,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,133.64,11.5,57.98,48.23,73.02,133.64,100.0,0.0,0.0,0.0,0.0,3.7,0.142,0.015
14,0.08,0.5,98.0,0.0,93.0,99.45,-8.65,8.65,141.37,15.28,76.2,62.55,100.49,144.25,98.0,2.0,0.0,0.0,0.55,7.0,0.28,0.021
15,0.05,0.125,98.0,4.0,93.0,99.45,-3.7,13.46,259.29,26.18,130.61,111.43,155.84,264.58,98.0,0.0,2.0,0.0,0.0,3.7,0.165,0.011
16,0.05,0.25,99.0,2.0,94.55,99.82,-5.32,10.5,235.54,27.86,139.67,116.53,171.94,237.91,99.0,0.0,1.0,0.0,0.0,3.7,0.278,0.014
17,0.05,0.5,90.0,4.0,82.56,94.48,-8.58,16.76,176.36,24.25,115.78,95.98,144.8,195.95,90.0,10.0,0.0,0.0,5.52,17.44,0.347,0.015
18,0.03,0.125,61.0,30.0,51.2,69.98,10.9,46.25,461.26,52.65,205.56,183.88,232.42,756.17,61.0,0.0,39.0,0.0,0.0,3.7,0.238,0.008
19,0.03,0.25,89.0,10.0,81.37,93.75,-2.77,23.12,332.12,37.01,175.67,155.18,200.28,373.17,89.0,0.0,11.0,0.0,0.0,3.7,0.32,0.008
20,0.03,0.5,78.0,20.0,68.93,85.0,3.7,35.21,194.31,29.59,131.26,105.63,164.19,249.11,78.0,22.0,0.0,0.0,15.0,31.07,0.336,0.015
21,0.01,0.125,3.0,6.0,1.03,8.45,-2.15,16.22,690.33,,144.37,,,23011.11,3.0,0.0,97.0,0.0,0.0,3.7,0.18,
22,0.01,0.25,53.0,6.0,43.29,62.49,-13.13,24.53,404.6,62.88,228.14,194.68,264.26,763.4,53.0,10.0,37.0,0.0,5.52,17.44,0.255,0.016
23,0.01,0.5,59.0,14.0,49.2,68.13,-5.13,31.77,200.83,34.41,132.06,107.31,168.3,340.39,59.0,41.0,0.0,0.0,31.87,50.8,0.329,0.016
