exp_id,coherence,strength,Accuracy (%),Accuracy Difference (%),Accuracy CI Low (%),Accuracy CI High (%),Accuracy Diff CI Low (%),Accuracy Diff CI High (%),Mean Correct RT (ms),Mean Correct RT CI Margin (ms),Correct RT std (ms),Correct RT std CI Low (ms),Correct RT std CI High (ms),Inverse Efficiency,Correct Decision (%),Wrong Decision (%),No Decision (%),Premature (%),Wrong Decision CI Low (%),Wrong Decision CI High (%),Mean PD Variability,Mean PD Variability CI Margin
0,1.0,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,48.68,0.13,0.63,0.56,0.78,48.68,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
1,1.0,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,50.53,0.19,0.96,0.83,1.12,50.53,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
2,1.0,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,54.74,0.31,1.57,1.43,1.74,54.74,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
3,0.3,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,58.22,0.38,1.92,1.71,2.17,58.22,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
4,0.3,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,62.17,0.48,2.41,2.1,2.87,62.17,100.0,0.0,0.0,0.0,0.0,3.7,0.034,0.0
5,0.3,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,79.36,1.97,9.95,8.17,13.73,79.36,100.0,0.0,0.0,0.0,0.0,3.7,0.041,0.001
6,0.15,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,68.57,0.83,4.18,3.72,5.13,68.57,100.0,0.0,0.0,0.0,0.0,3.7,0.035,0.0
7,0.15,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,81.7,1.84,9.27,7.82,11.95,81.7,100.0,0.0,0.0,0.0,0.0,3.7,0.043,0.001
8,0.15,0.4,100.0,0.0,96.3,100.0,-7.13,7.13,139.68,12.29,61.96,49.68,78.86,139.68,100.0,0.0,0.0,0.0,0.0,3.7,0.09,0.007
9,0.1,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,83.0,3.39,17.07,9.86,30.43,83.0,100.0,0.0,0.0,0.0,0.0,3.7,0.044,0.001
10,0.1,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,107.55,6.67,33.6,27.48,41.99,107.55,100.0,0.0,0.0,0.0,0.0,3.7,0.068,0.004
11,0.1,0.4,99.0,2.0,94.55,99.82,-5.32,10.5,250.2,30.82,154.53,130.03,183.71,252.73,99.0,0.0,1.0,0.0,0.0,3.7,0.158,0.012
12,0.08,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,89.59,3.32,16.75,13.78,20.72,89.59,100.0,0.0,0.0,0.0,0.0,3.7,0.057,0.003
13,0.08,0.6,100.0,0.0,96.3,100.0,-7.13,7.13,134.05,10.67,53.79,44.69,69.16,134.05,100.0,0.0,0.0,0.0,0.0,3.7,0.1,0.009
14,0.08,0.4,95.0,10.0,88.82,97.85,0.9,21.36,303.03,37.25,182.86,157.8,214.5,318.98,95.0,0.0,5.0,0.0,0.0,3.7,0.191,0.012
15,0.05,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,144.79,12.4,62.49,53.44,73.43,144.79,100.0,0.0,0.0,0.0,0.0,3.7,0.121,0.01
16,0.05,0.6,99.0,2.0,94.55,99.82,-5.32,10.5,258.05,30.87,154.79,128.94,190.02,260.66,99.0,0.0,1.0,0.0,0.0,3.7,0.197,0.015
17,0.05,0.4,61.0,58.0,51.2,69.98,40.12,70.58,401.18,47.73,186.38,165.5,212.69,657.67,61.0,0.0,39.0,0.0,0.0,3.7,0.216,0.01
18,0.03,0.8,100.0,0.0,96.3,100.0,-7.13,7.13,254.11,29.42,148.27,128.7,171.51,254.11,100.0,0.0,0.0,0.0,0.0,3.7,0.224,0.012
19,0.03,0.6,83.0,22.0,74.45,89.11,7.33,36.22,351.01,38.78,177.61,158.28,203.55,422.91,83.0,0.0,17.0,0.0,0.0,3.7,0.24,0.012
20,0.03,0.4,33.0,50.0,24.56,42.69,32.48,63.52,420.48,71.95,202.92,168.83,237.2,1274.2,33.0,1.0,66.0,0.0,0.18,5.45,0.22,0.011
21,0.01,0.8,54.0,16.0,44.26,63.44,-3.41,33.81,464.09,59.03,216.28,191.94,244.54,859.43,54.0,8.0,38.0,0.0,4.11,15.0,0.241,0.012
22,0.01,0.6,29.0,26.0,21.01,38.54,8.22,41.76,413.69,,167.23,,,1426.52,29.0,6.0,65.0,0.0,2.78,12.48,0.222,0.014
23,0.01,0.4,9.0,18.0,4.81,16.23,7.11,30.8,414.56,,232.31,,,4606.17,9.0,1.0,90.0,0.0,0.18,5.45,0.234,
