exp_id,coherence,noise_std,Accuracy (%),Accuracy Difference (%),Accuracy CI Low (%),Accuracy CI High (%),Accuracy Diff CI Low (%),Accuracy Diff CI High (%),Mean Correct RT (ms),Mean Correct RT CI Margin (ms),Correct RT std (ms),Correct RT std CI Low (ms),Correct RT std CI High (ms),Inverse Efficiency,Correct Decision (%),Wrong Decision (%),No Decision (%),Premature (%),Wrong Decision CI Low (%),Wrong Decision CI High (%),Mean PD Variability,Mean PD Variability CI Margin
0,1.0,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,47.18,0.23,1.15,1.06,1.25,47.18,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
1,1.0,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,47.04,0.22,1.1,1.0,1.22,47.04,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
2,1.0,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,47.32,0.25,1.27,1.16,1.43,47.32,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
3,0.3,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,55.78,0.33,1.68,1.4,2.03,55.78,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
4,0.3,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,56.0,0.49,2.45,2.17,2.76,56.0,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
5,0.3,0.5,100.0,0.0,96.3,100.0,-7.13,7.13,57.93,1.16,5.86,4.62,8.23,57.93,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
6,0.15,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,64.22,0.57,2.86,2.49,3.27,64.22,100.0,0.0,0.0,0.0,0.0,3.7,0.033,0.0
7,0.15,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,65.81,1.02,5.14,4.58,5.84,65.81,100.0,0.0,0.0,0.0,0.0,3.7,0.034,0.0
8,0.15,0.5,98.0,-4.0,93.0,99.45,-13.46,3.7,69.6,3.47,17.31,13.93,21.8,71.02,98.0,2.0,0.0,0.0,0.55,7.0,0.053,0.008
9,0.1,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,71.39,0.88,4.44,3.74,5.48,71.39,100.0,0.0,0.0,0.0,0.0,3.7,0.037,0.001
10,0.1,0.25,100.0,0.0,96.3,100.0,-7.13,7.13,74.41,3.78,19.06,12.3,33.01,74.41,100.0,0.0,0.0,0.0,0.0,3.7,0.042,0.003
11,0.1,0.5,94.0,0.0,87.52,97.22,-10.95,10.95,80.64,6.04,29.47,23.57,37.31,85.79,94.0,6.0,0.0,0.0,2.78,12.48,0.146,0.021
12,0.08,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,74.78,1.52,7.67,5.87,11.53,74.78,100.0,0.0,0.0,0.0,0.0,3.7,0.041,0.001
13,0.08,0.25,98.0,0.0,93.0,99.45,-8.65,8.65,82.19,4.97,24.8,18.05,35.22,83.87,98.0,2.0,0.0,0.0,0.55,7.0,0.062,0.007
14,0.08,0.5,91.0,-10.0,83.77,95.19,-22.53,1.8,90.95,7.85,37.71,30.57,47.12,99.94,91.0,9.0,0.0,0.0,4.81,16.23,0.203,0.022
15,0.05,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,95.28,4.39,22.12,18.52,29.78,95.28,100.0,0.0,0.0,0.0,0.0,3.7,0.074,0.005
16,0.05,0.25,98.0,0.0,93.0,99.45,-8.65,8.65,109.58,10.8,53.87,44.4,66.86,111.82,98.0,2.0,0.0,0.0,0.55,7.0,0.15,0.016
17,0.05,0.5,81.0,2.0,72.22,87.49,-13.51,17.42,95.93,9.67,43.71,34.11,63.97,118.43,81.0,19.0,0.0,0.0,12.51,27.78,0.312,0.018
18,0.03,0.125,100.0,0.0,96.3,100.0,-7.13,7.13,158.22,17.67,89.05,68.67,120.7,158.22,100.0,0.0,0.0,0.0,0.0,3.7,0.14,0.009
19,0.03,0.25,92.0,0.0,85.0,95.89,-11.87,11.87,125.6,11.48,55.45,46.43,69.72,136.52,92.0,8.0,0.0,0.0,4.11,15.0,0.265,0.015
20,0.03,0.5,62.0,-4.0,52.21,70.9,-22.21,14.59,95.89,9.65,38.0,30.79,47.97,154.66,62.0,38.0,0.0,0.0,29.1,47.79,0.335,0.015
21,0.01,0.125,81.0,-26.0,72.22,87.49,-40.36,-10.81,355.74,44.0,198.99,173.16,231.79,439.19,81.0,12.0,7.0,0.0,7.0,19.81,0.249,0.011
22,0.01,0.25,64.0,-16.0,54.24,72.73,-33.27,2.75,148.0,19.65,78.65,64.56,100.25,231.25,64.0,35.0,1.0,0.0,26.36,44.75,0.313,0.011
23,0.01,0.5,51.0,-10.0,41.35,60.58,-28.29,9.3,101.41,15.04,53.47,38.18,84.74,198.85,51.0,49.0,0.0,0.0,39.42,58.65,0.376,0.01
